aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
micro,all,clip_image,hr_at_1,0.032,0.02119071644803229,0.04390243902439024,1000,734
micro,all,clip_image,hr_at_5,0.126,0.10557643796672607,0.14724064693804786,1000,734
micro,all,clip_image,hr_at_10,0.22,0.1942226023442462,0.24554499384849726,1000,734
micro,all,clip_image,ndcg_at_1,0.032,0.02119071644803229,0.04395714285714285,1000,734
micro,all,clip_image,ndcg_at_5,0.0785207493832039,0.06503612594710627,0.09290314013421362,1000,734
micro,all,clip_image,ndcg_at_10,0.10897570059915823,0.09391364898914156,0.12448687837399941,1000,734
micro,all,clip_image,mrr,0.09960057283269612,0.08756744950097327,0.11167446428975367,1000,734
category,bags,clip_image,hr_at_1,0.04,0.01507537688442211,0.06896551724137931,200,186
category,bags,clip_image,hr_at_5,0.125,0.0784313725490196,0.17676767676767677,200,186
category,bags,clip_image,hr_at_10,0.22,0.1609713200147077,0.2815533980582524,200,186
category,bags,clip_image,ndcg_at_1,0.04,0.015,0.07000879396984913,200,186
category,bags,clip_image,ndcg_at_5,0.0805954148555363,0.04789396057836801,0.11698790346096438,200,186
category,bags,clip_image,ndcg_at_10,0.1117113033951066,0.07754901075051444,0.1496791087647267,200,186
category,bags,clip_image,mrr,0.10253361604718574,0.07461210103145378,0.1351090139804323,200,186
category,bottoms,clip_image,hr_at_1,0.03,0.009900990099009901,0.05612244897959184,200,188
category,bottoms,clip_image,hr_at_5,0.105,0.06435643564356436,0.1477832512315271,200,188
category,bottoms,clip_image,hr_at_10,0.2,0.145,0.25888324873096447,200,188
category,bottoms,clip_image,ndcg_at_1,0.03,0.009900990099009901,0.05555555555555555,200,188
category,bottoms,clip_image,ndcg_at_5,0.06825530307309972,0.04015757085656266,0.09931707138854921,200,188
category,bottoms,clip_image,ndcg_at_10,0.09935052083844913,0.07090701419831444,0.1325953576379317,200,188
category,bottoms,clip_image,mrr,0.09389174913264899,0.06991751708493596,0.12122389540115225,200,188
category,outerwear,clip_image,hr_at_1,0.025,0.005050505050505051,0.04950495049504951,200,179
category,outerwear,clip_image,hr_at_5,0.145,0.09803668890236508,0.19487179487179487,200,179
category,outerwear,clip_image,hr_at_10,0.25,0.19170984455958548,0.3122027439024389,200,179
category,outerwear,clip_image,ndcg_at_1,0.025,0.005025125628140704,0.049019607843137254,200,179
category,outerwear,clip_image,ndcg_at_5,0.08607236863781091,0.0569730418855867,0.11848276854480161,200,179
category,outerwear,clip_image,ndcg_at_10,0.11976280496019974,0.08886438367217406,0.15229628150823885,200,179
category,outerwear,clip_image,mrr,0.10509110485575049,0.0808699252614906,0.13178531340995905,200,179
category,shoes,clip_image,hr_at_1,0.03,0.009900990099009901,0.05527638190954774,200,192
category,shoes,clip_image,hr_at_5,0.11,0.06862745098039216,0.15577889447236182,200,192
category,shoes,clip_image,hr_at_10,0.185,0.1336551155115512,0.23979591836734693,200,192
