case_id,generator_model_id,condition,target_category,trace_size,word_count,trace_support_rate,full_kb_support_rate,unsupported_item_fact_rate,trace_supported_claims_per_100_words
case-e429feb0c2a9f49c,gemma4:12b,no_rag,tops,1,64,0.1,0.1,,1.5625
case-e429feb0c2a9f49c,gemma4:12b,rule_rag,tops,1,64,0.2,0.2,,1.5625
case-c2ea09f4e654ee14,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-c2ea09f4e654ee14,gemma4:12b,rule_rag,tops,1,60,0.5,0.5,,3.3333333333333335
case-1c7225eeebc390f4,gemma4:12b,no_rag,tops,1,64,0.0,0.0,0.0,0.0
case-919baac95ca88066,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-919baac95ca88066,gemma4:12b,rule_rag,tops,1,64,0.2,0.2,,1.5625
case-af84513c121c7811,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-af84513c121c7811,gemma4:12b,rule_rag,tops,1,62,0.75,0.75,,4.838709677419355
case-1becd8554ecaa063,gemma4:12b,no_rag,tops,2,64,0.0,0.0,,0.0
case-1becd8554ecaa063,gemma4:12b,rule_rag,tops,2,67,0.125,0.125,,1.492537313432836
case-23100c6fb3b44e88,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-23100c6fb3b44e88,gemma4:12b,rule_rag,tops,1,62,0.0,0.0,,0.0
case-47ae7d461877e5d1,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-47ae7d461877e5d1,gemma4:12b,rule_rag,tops,1,53,0.5,0.5,,5.660377358490566
case-3db7cb0b016641de,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-3db7cb0b016641de,gemma4:12b,rule_rag,tops,1,60,0.0,0.0,0.0,0.0
case-2d6a99b75f885593,gemma4:12b,no_rag,tops,1,60,0.0,0.0,0.0,0.0
case-2d6a99b75f885593,gemma4:12b,rule_rag,tops,1,66,0.25,0.25,,1.5151515151515151
case-d0b1e265804f2872,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-d0b1e265804f2872,gemma4:12b,rule_rag,tops,1,50,0.5,0.5,,4.0
case-094db2a4cbd25ec7,gemma4:12b,no_rag,tops,1,60,0.2,0.2,0.0,3.3333333333333335
case-094db2a4cbd25ec7,gemma4:12b,rule_rag,tops,1,65,0.8,0.8,,6.153846153846154
case-ef347392f6aba290,gemma4:12b,no_rag,tops,1,61,0.0,0.0,,0.0
case-ef347392f6aba290,gemma4:12b,rule_rag,tops,1,63,0.0,0.0,,0.0
case-8ed19313c52a2a9e,gemma4:12b,no_rag,tops,1,62,0.08333333333333333,0.08333333333333333,0.0,1.6129032258064515
case-8ed19313c52a2a9e,gemma4:12b,rule_rag,tops,1,53,0.16666666666666666,0.16666666666666666,,1.8867924528301887
case-589fe5f6da25a6f1,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-589fe5f6da25a6f1,gemma4:12b,rule_rag,tops,1,63,0.0,0.0,,0.0
case-cf60faf5d470f130,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-cf60faf5d470f130,gemma4:12b,rule_rag,tops,1,66,0.2,0.2,,1.5151515151515151
case-b84372a3927144c5,gemma4:12b,no_rag,tops,2,67,0.0,0.0,,0.0
case-b84372a3927144c5,gemma4:12b,rule_rag,tops,2,58,0.4,0.4,,3.4482758620689653
case-99bd2625e23132fa,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-99bd2625e23132fa,gemma4:12b,rule_rag,tops,1,62,0.0,0.0,,0.0
case-2fc8f6828101e5ac,gemma4:12b,no_rag,tops,2,65,0.0,0.0,0.0,0.0
case-2fc8f6828101e5ac,gemma4:12b,rule_rag,tops,2,62,0.0,0.0,,0.0
case-8f0f670d2da88e40,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-8f0f670d2da88e40,gemma4:12b,rule_rag,tops,1,62,0.25,0.25,,1.6129032258064515
case-c30772c778470c1b,gemma4:12b,no_rag,tops,1,64,0.1,0.1,0.0,1.5625
case-c30772c778470c1b,gemma4:12b,rule_rag,tops,1,64,0.5,0.5,0.0,4.6875
case-4c2de2725e595ab7,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-4c2de2725e595ab7,gemma4:12b,rule_rag,tops,1,59,0.6666666666666666,0.6666666666666666,,3.389830508474576
case-23bf6bb2a780b76b,gemma4:12b,no_rag,tops,3,63,0.0,0.0,,0.0
case-23bf6bb2a780b76b,gemma4:12b,rule_rag,tops,3,64,0.2,0.2,,1.5625
case-3502648ffe08495a,gemma4:12b,no_rag,tops,3,65,0.0,0.0,,0.0
case-3502648ffe08495a,gemma4:12b,rule_rag,tops,3,64,0.4,0.4,,3.125
case-ff7627d8332912be,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-ff7627d8332912be,gemma4:12b,rule_rag,tops,1,59,0.0,0.0,,0.0
case-1fc4df64ac242c0a,gemma4:12b,no_rag,tops,2,63,0.0,0.0,,0.0
case-1fc4df64ac242c0a,gemma4:12b,rule_rag,tops,2,66,0.0,0.0,,0.0
case-76bbf48e671bfd5a,gemma4:12b,no_rag,tops,2,65,0.0,0.0,,0.0
case-76bbf48e671bfd5a,gemma4:12b,rule_rag,tops,2,63,0.0,0.0,,0.0
case-99ee3c23efb6f2d2,gemma4:12b,no_rag,tops,2,59,0.0,0.0,,0.0
case-99ee3c23efb6f2d2,gemma4:12b,rule_rag,tops,2,61,0.0,0.0,,0.0
case-3b802060b9b2bb8e,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-3b802060b9b2bb8e,gemma4:12b,rule_rag,tops,1,57,0.2,0.2,,1.7543859649122806
case-7704b746a54d342c,gemma4:12b,no_rag,tops,2,65,0.0,0.0,,0.0
case-7704b746a54d342c,gemma4:12b,rule_rag,tops,2,62,0.5,0.5,,3.225806451612903
case-2ae8ee00828c7c73,gemma4:12b,no_rag,tops,1,60,0.0,0.0,,0.0
case-2ae8ee00828c7c73,gemma4:12b,rule_rag,tops,1,53,0.0,0.0,,0.0
case-5996ce889a668fed,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-5996ce889a668fed,gemma4:12b,rule_rag,tops,1,62,0.5,0.5,,4.838709677419355
case-22baaf00e0b6137d,gemma4:12b,no_rag,tops,2,64,0.0,0.0,,0.0
case-22baaf00e0b6137d,gemma4:12b,rule_rag,tops,2,57,0.6666666666666666,0.6666666666666666,,3.508771929824561
case-e821db295328c0c4,gemma4:12b,no_rag,tops,1,68,0.16666666666666666,0.16666666666666666,,1.4705882352941178
case-e821db295328c0c4,gemma4:12b,rule_rag,tops,1,62,0.3333333333333333,0.3333333333333333,,1.6129032258064515
case-ef9cf26c892fa28e,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-ef9cf26c892fa28e,gemma4:12b,rule_rag,tops,1,61,0.25,0.25,,1.639344262295082
case-3b30f17e4d16804f,gemma4:12b,no_rag,tops,2,64,0.0,0.0,0.0,0.0
case-3b30f17e4d16804f,gemma4:12b,rule_rag,tops,2,57,0.0,0.0,,0.0
case-220dd48019439129,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-220dd48019439129,gemma4:12b,rule_rag,tops,1,61,0.25,0.25,,1.639344262295082
case-214f2477049c7c43,gemma4:12b,no_rag,tops,1,67,0.0,0.0,,0.0
case-214f2477049c7c43,gemma4:12b,rule_rag,tops,1,64,0.4,0.4,,3.125
case-9b83d53ac7f4b74a,gemma4:12b,no_rag,tops,1,68,0.0,0.0,,0.0
case-9b83d53ac7f4b74a,gemma4:12b,rule_rag,tops,1,64,0.2,0.2,,1.5625
case-f9f995f3dc73cd56,gemma4:12b,no_rag,tops,2,63,0.0,0.0,,0.0
case-f9f995f3dc73cd56,gemma4:12b,rule_rag,tops,2,66,0.0,0.0,,0.0
case-cc745a7894645d84,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-cc745a7894645d84,gemma4:12b,rule_rag,tops,1,62,0.16666666666666666,0.16666666666666666,,1.6129032258064515
case-c270f940d4973229,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-c270f940d4973229,gemma4:12b,rule_rag,tops,1,64,0.0,0.0,,0.0
case-bc1649aa0856ead1,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-bc1649aa0856ead1,gemma4:12b,rule_rag,tops,1,60,0.75,0.75,,5.0
case-3686a781cc280214,gemma4:12b,no_rag,tops,1,67,0.0,0.0,,0.0
case-3686a781cc280214,gemma4:12b,rule_rag,tops,1,65,0.0,0.0,,0.0
case-70b3714d210b5847,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-70b3714d210b5847,gemma4:12b,rule_rag,tops,1,66,1.0,1.0,,6.0606060606060606
case-0da2688c311a7c25,gemma4:12b,no_rag,tops,1,63,0.1,0.1,0.0,1.5873015873015872
case-0da2688c311a7c25,gemma4:12b,rule_rag,tops,1,61,0.4,0.4,,3.278688524590164
case-8fae48ba3bad1d4c,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-8fae48ba3bad1d4c,gemma4:12b,rule_rag,tops,1,64,0.3333333333333333,0.3333333333333333,,3.125
case-6175885652bb2bd7,gemma4:12b,no_rag,tops,1,68,0.0,0.0,,0.0
case-6175885652bb2bd7,gemma4:12b,rule_rag,tops,1,61,0.5714285714285714,0.5714285714285714,,6.557377049180328
case-bdeb5168bcfb859b,gemma4:12b,rule_rag,tops,1,57,0.0,0.0,,0.0
case-0b8aa30b40b7cd27,gemma4:12b,no_rag,tops,2,61,0.14285714285714285,0.14285714285714285,0.0,1.639344262295082
case-0b8aa30b40b7cd27,gemma4:12b,rule_rag,tops,2,63,0.14285714285714285,0.14285714285714285,0.0,1.5873015873015872
case-a4deeeec85ab4325,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-a4deeeec85ab4325,gemma4:12b,rule_rag,tops,1,56,0.0,0.0,,0.0
case-2eb68ee3f87c940f,gemma4:12b,no_rag,tops,2,63,0.0,0.0,0.0,0.0
case-2eb68ee3f87c940f,gemma4:12b,rule_rag,tops,2,58,0.0,0.0,0.0,0.0
case-cbeb071042b6e4ed,gemma4:12b,no_rag,tops,1,67,0.0,0.0,,0.0
case-cbeb071042b6e4ed,gemma4:12b,rule_rag,tops,1,65,0.5,0.5,,3.076923076923077
case-0dfaeb012d2ad15c,gemma4:12b,no_rag,tops,2,66,0.0,0.0,,0.0
case-0dfaeb012d2ad15c,gemma4:12b,rule_rag,tops,2,62,0.0,0.0,,0.0
case-777b98785771f79b,gemma4:12b,no_rag,tops,1,62,0.0,0.0,0.0,0.0
case-777b98785771f79b,gemma4:12b,rule_rag,tops,1,60,0.0,0.0,,0.0
case-8e100f904ee4043a,gemma4:12b,no_rag,tops,1,67,0.0,0.0,,0.0
case-8e100f904ee4043a,gemma4:12b,rule_rag,tops,1,61,0.25,0.25,,1.639344262295082
case-4c35f80695feddcd,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-4c35f80695feddcd,gemma4:12b,rule_rag,tops,1,67,0.3333333333333333,0.3333333333333333,,1.492537313432836
case-5e393111a23e065f,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-5e393111a23e065f,gemma4:12b,rule_rag,tops,1,65,0.6,0.6,,4.615384615384615
case-a2edf3a67b3ac73b,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-a2edf3a67b3ac73b,gemma4:12b,rule_rag,tops,1,66,0.4,0.4,,3.0303030303030303
case-da662c222842d74f,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-da662c222842d74f,gemma4:12b,rule_rag,tops,1,67,0.2,0.2,,1.492537313432836
case-151a455af56c054b,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-151a455af56c054b,gemma4:12b,rule_rag,tops,1,65,0.25,0.25,,1.5384615384615385
case-8cc99911d3e5d8a2,gemma4:12b,no_rag,tops,2,66,0.0,0.0,,0.0
case-8cc99911d3e5d8a2,gemma4:12b,rule_rag,tops,2,63,0.25,0.25,,1.5873015873015872
case-7e6e05ad93942a7e,gemma4:12b,no_rag,tops,1,61,0.0,0.0,,0.0
case-7e6e05ad93942a7e,gemma4:12b,rule_rag,tops,1,63,0.5,0.5,,3.1746031746031744
case-f9c5b7d05746b1be,gemma4:12b,no_rag,tops,1,60,0.0,0.0,,0.0
case-f9c5b7d05746b1be,gemma4:12b,rule_rag,tops,1,63,0.3333333333333333,0.3333333333333333,0.0,3.1746031746031744
case-db90930f2ce3e090,gemma4:12b,no_rag,tops,2,66,0.0,0.0,,0.0
case-db90930f2ce3e090,gemma4:12b,rule_rag,tops,2,56,0.8333333333333334,0.8333333333333334,,8.928571428571429
case-026665827bfaaf65,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-026665827bfaaf65,gemma4:12b,rule_rag,tops,1,64,0.0,0.0,,0.0
case-84a86e133194431f,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-84a86e133194431f,gemma4:12b,rule_rag,tops,1,66,0.16666666666666666,0.16666666666666666,,1.5151515151515151
case-31571869b5c23de5,gemma4:12b,no_rag,tops,1,61,0.0,0.0,,0.0
case-31571869b5c23de5,gemma4:12b,rule_rag,tops,1,64,0.5,0.5,,3.125
case-575b4ffda66f631c,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-575b4ffda66f631c,gemma4:12b,rule_rag,tops,1,66,0.25,0.25,,1.5151515151515151
case-32861b40bfbc2330,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-32861b40bfbc2330,gemma4:12b,rule_rag,tops,1,64,0.75,0.75,,4.6875
case-f878f5d567344fb9,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-f878f5d567344fb9,gemma4:12b,rule_rag,tops,1,60,0.2,0.2,,1.6666666666666667
case-d7546ae32c13aa41,gemma4:12b,no_rag,tops,1,64,0.3333333333333333,0.3333333333333333,,1.5625
case-d7546ae32c13aa41,gemma4:12b,rule_rag,tops,1,67,0.14285714285714285,0.14285714285714285,,1.492537313432836
case-0e9883918b0ca714,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-0e9883918b0ca714,gemma4:12b,rule_rag,tops,1,65,0.0,0.0,,0.0
case-2564828ccbf3de99,gemma4:12b,no_rag,tops,2,64,0.0,0.0,,0.0
case-2564828ccbf3de99,gemma4:12b,rule_rag,tops,2,65,0.2857142857142857,0.2857142857142857,,3.076923076923077
case-8633eb7ac4daa293,gemma4:12b,no_rag,tops,2,66,0.0,0.0,0.0,0.0
case-8633eb7ac4daa293,gemma4:12b,rule_rag,tops,2,61,0.5,0.5,,1.639344262295082
case-09628ef84cbf20ab,gemma4:12b,no_rag,tops,1,61,0.0,0.0,0.0,0.0
case-09628ef84cbf20ab,gemma4:12b,rule_rag,tops,1,66,0.25,0.25,,1.5151515151515151
case-ad7ebd4ca8a78fe2,gemma4:12b,no_rag,tops,1,67,0.0,0.0,,0.0
case-ad7ebd4ca8a78fe2,gemma4:12b,rule_rag,tops,1,62,0.0,0.0,,0.0
case-2115255a06f4a35a,gemma4:12b,no_rag,tops,2,58,0.3333333333333333,0.3333333333333333,0.0,5.172413793103448
case-2115255a06f4a35a,gemma4:12b,rule_rag,tops,2,67,0.3333333333333333,0.3333333333333333,,1.492537313432836
case-1a1a490478a526ea,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-1a1a490478a526ea,gemma4:12b,rule_rag,tops,1,59,0.0,0.0,,0.0
case-aa908bd8bb725396,gemma4:12b,no_rag,tops,2,63,0.0,0.0,,0.0
case-aa908bd8bb725396,gemma4:12b,rule_rag,tops,2,58,0.3333333333333333,0.3333333333333333,,3.4482758620689653
case-cce943551dd396ff,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-cce943551dd396ff,gemma4:12b,rule_rag,tops,1,62,0.2,0.2,,1.6129032258064515
case-5280268c99e36001,gemma4:12b,no_rag,tops,1,63,0.0,0.0,,0.0
case-5280268c99e36001,gemma4:12b,rule_rag,tops,1,62,0.25,0.25,,1.6129032258064515
case-b036b4e33774d56d,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-b036b4e33774d56d,gemma4:12b,rule_rag,tops,1,63,0.2,0.2,,1.5873015873015872
case-3002b181b2a5f9fc,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-3002b181b2a5f9fc,gemma4:12b,rule_rag,tops,1,65,0.0,0.0,,0.0
case-4373ff3cda4972d6,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-4373ff3cda4972d6,gemma4:12b,rule_rag,tops,1,65,0.5,0.5,,3.076923076923077
case-806b396f998d24ef,gemma4:12b,no_rag,tops,1,58,0.0,0.0,,0.0
case-806b396f998d24ef,gemma4:12b,rule_rag,tops,1,61,0.0,0.0,,0.0
case-baa6ef97872fb508,gemma4:12b,no_rag,tops,2,64,0.0,0.0,,0.0
case-baa6ef97872fb508,gemma4:12b,rule_rag,tops,2,66,0.5,0.5,,3.0303030303030303
case-51dbfaffec08d7c1,gemma4:12b,rule_rag,tops,2,67,0.0,0.0,,0.0
case-28e71c22a43c272a,gemma4:12b,no_rag,tops,1,68,0.0,0.0,,0.0
case-28e71c22a43c272a,gemma4:12b,rule_rag,tops,1,57,0.0,0.0,,0.0
case-18513b7046cb77c0,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-18513b7046cb77c0,gemma4:12b,rule_rag,tops,1,60,0.2,0.2,,1.6666666666666667
case-ebf0178ee41f3d25,gemma4:12b,no_rag,tops,1,64,0.0,0.0,,0.0
case-ebf0178ee41f3d25,gemma4:12b,rule_rag,tops,1,64,0.4,0.4,,3.125
case-3354be494f1e6d0b,gemma4:12b,no_rag,tops,1,67,0.0,0.0,,0.0
case-3354be494f1e6d0b,gemma4:12b,rule_rag,tops,1,61,0.16666666666666666,0.16666666666666666,,1.639344262295082
case-f8a75930060304aa,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-f8a75930060304aa,gemma4:12b,rule_rag,tops,1,65,0.0,0.0,,0.0
case-808697b5cd70de93,gemma4:12b,no_rag,tops,2,61,0.0,0.0,,0.0
case-808697b5cd70de93,gemma4:12b,rule_rag,tops,2,69,0.0,0.0,,0.0
case-5a26eb6b60aa2842,gemma4:12b,no_rag,tops,1,61,0.3333333333333333,0.3333333333333333,,1.639344262295082
case-5a26eb6b60aa2842,gemma4:12b,rule_rag,tops,1,60,0.25,0.25,,1.6666666666666667
case-a348552e4709eb33,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-a348552e4709eb33,gemma4:12b,rule_rag,tops,1,65,0.3333333333333333,0.3333333333333333,,3.076923076923077
case-852e5bade56d69e2,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-852e5bade56d69e2,gemma4:12b,rule_rag,tops,1,63,0.6,0.6,,4.761904761904762
case-e47eac906f5f4997,gemma4:12b,no_rag,tops,1,66,0.0,0.0,,0.0
case-e47eac906f5f4997,gemma4:12b,rule_rag,tops,1,63,0.3333333333333333,0.3333333333333333,,3.1746031746031744
case-aef4dfde0d364cd8,gemma4:12b,no_rag,tops,1,65,0.0,0.0,,0.0
case-aef4dfde0d364cd8,gemma4:12b,rule_rag,tops,1,57,0.5,0.5,,3.508771929824561
case-f76e2df716df4967,gemma4:12b,no_rag,tops,1,62,0.0,0.0,,0.0
case-f76e2df716df4967,gemma4:12b,rule_rag,tops,1,57,0.5,0.5,,5.2631578947368425
case-9f8b772a6cbd60ed,gemma4:12b,no_rag,bottoms,1,67,0.0,0.0,,0.0
case-9f8b772a6cbd60ed,gemma4:12b,rule_rag,bottoms,1,65,0.6666666666666666,0.6666666666666666,,6.153846153846154
case-2710e3bfdf0b6ddc,gemma4:12b,no_rag,bottoms,1,63,0.0,0.0,,0.0
case-2710e3bfdf0b6ddc,gemma4:12b,rule_rag,bottoms,1,60,0.3333333333333333,0.3333333333333333,,1.6666666666666667
case-4ce828649973c8ad,gemma4:12b,no_rag,bottoms,1,62,0.0,0.0,0.0,0.0
case-4ce828649973c8ad,gemma4:12b,rule_rag,bottoms,1,60,0.0,0.0,,0.0
case-b71aa9e31a1247e4,gemma4:12b,no_rag,bottoms,2,65,0.0,0.0,,0.0
case-b71aa9e31a1247e4,gemma4:12b,rule_rag,bottoms,2,66,0.5,0.5,,3.0303030303030303
case-967d8e0d3b5b240a,gemma4:12b,no_rag,bottoms,1,59,0.0,0.0,,0.0
case-967d8e0d3b5b240a,gemma4:12b,rule_rag,bottoms,1,52,0.6,0.6,,5.769230769230769
case-928b7fbcb802ee08,gemma4:12b,rule_rag,bottoms,1,57,0.2,0.2,,1.7543859649122806
case-8a3d3ed3708ff820,gemma4:12b,rule_rag,bottoms,1,68,1.0,1.0,,4.411764705882353
case-e5c750f7975c88b2,gemma4:12b,no_rag,bottoms,1,65,0.0,0.0,,0.0
case-e5c750f7975c88b2,gemma4:12b,rule_rag,bottoms,1,66,0.8333333333333334,0.8333333333333334,,7.575757575757576
case-cb4f24893461fd71,gemma4:12b,no_rag,bottoms,2,62,0.0,0.0,,0.0
case-cb4f24893461fd71,gemma4:12b,rule_rag,bottoms,2,68,0.5,0.5,,2.9411764705882355
case-55a4829025e5f139,gemma4:12b,no_rag,bottoms,2,64,0.0,0.0,,0.0
case-55a4829025e5f139,gemma4:12b,rule_rag,bottoms,2,63,0.3333333333333333,0.3333333333333333,,3.1746031746031744
case-00394c0d34524ad6,gemma4:12b,no_rag,bottoms,2,61,0.0,0.0,0.0,0.0
case-00394c0d34524ad6,gemma4:12b,rule_rag,bottoms,2,58,0.3333333333333333,0.3333333333333333,,1.7241379310344827
case-ded616af17e82ed6,gemma4:12b,no_rag,bottoms,1,62,0.2,0.2,0.0,3.225806451612903
case-ded616af17e82ed6,gemma4:12b,rule_rag,bottoms,1,66,0.2,0.2,,1.5151515151515151
case-e686e5b6c8809b92,gemma4:12b,rule_rag,bottoms,1,54,1.0,1.0,,3.7037037037037037
case-d57105489b1f7ab0,gemma4:12b,no_rag,bottoms,1,60,0.0,0.0,0.0,0.0
case-d57105489b1f7ab0,gemma4:12b,rule_rag,bottoms,1,64,0.4,0.4,,3.125
case-fd0a0092e6309217,gemma4:12b,rule_rag,bottoms,1,62,0.3333333333333333,0.3333333333333333,,1.6129032258064515
case-529f2069bca1b92e,gemma4:12b,no_rag,bottoms,1,64,0.0,0.0,,0.0
case-529f2069bca1b92e,gemma4:12b,rule_rag,bottoms,1,57,0.0,0.0,,0.0
case-a7ca4398c1c6e424,gemma4:12b,no_rag,bottoms,2,62,0.0,0.0,,0.0
case-a7ca4398c1c6e424,gemma4:12b,rule_rag,bottoms,2,65,0.3333333333333333,0.3333333333333333,,1.5384615384615385
case-a766a61c1d849a00,gemma4:12b,no_rag,bottoms,1,62,0.0,0.0,,0.0
case-a766a61c1d849a00,gemma4:12b,rule_rag,bottoms,1,67,0.0,0.0,,0.0
case-782b622a9483969d,gemma4:12b,rule_rag,bottoms,1,54,0.0,0.0,,0.0
case-42746599104dd828,gemma4:12b,no_rag,bottoms,2,64,0.0,0.0,0.0,0.0
case-42746599104dd828,gemma4:12b,rule_rag,bottoms,2,64,0.0,0.0,,0.0
case-4ae57684976e97ea,gemma4:12b,no_rag,bottoms,2,63,0.0,0.0,0.0,0.0
case-4ae57684976e97ea,gemma4:12b,rule_rag,bottoms,2,67,0.25,0.25,,1.492537313432836
case-6e3ec1644d06a819,gemma4:12b,no_rag,bottoms,2,67,0.1111111111111111,0.1111111111111111,0.0,1.492537313432836
case-6e3ec1644d06a819,gemma4:12b,rule_rag,bottoms,2,64,0.4,0.4,,3.125
case-db5ced9df30070fa,gemma4:12b,no_rag,bottoms,1,62,0.0,0.0,,0.0
case-db5ced9df30070fa,gemma4:12b,rule_rag,bottoms,1,61,0.2857142857142857,0.2857142857142857,,3.278688524590164
case-fc4ffb29ca9726bd,gemma4:12b,no_rag,bottoms,2,62,0.0,0.0,,0.0
case-fc4ffb29ca9726bd,gemma4:12b,rule_rag,bottoms,2,66,0.25,0.25,,3.0303030303030303
case-c936f56876e91fd4,gemma4:12b,no_rag,bottoms,1,65,0.0,0.0,,0.0
case-c936f56876e91fd4,gemma4:12b,rule_rag,bottoms,1,58,0.3333333333333333,0.3333333333333333,,1.7241379310344827
case-b88d6c2f4c794913,gemma4:12b,rule_rag,bottoms,1,59,0.25,0.25,,1.694915254237288
case-f67ef180b38b45d3,gemma4:12b,no_rag,bottoms,1,67,0.0,0.0,,0.0
