category,condition,exact_trace_support,full_kb_support,uifr
bags,no_rag,0.041357370095440084,0.043478260869565216,0.25
bags,rule_rag,0.5092838196286472,0.5108753315649868,0.15384615384615385
bottoms,no_rag,0.11046133853151396,0.11435997400909681,0.1891891891891892
bottoms,rule_rag,0.6059371362048894,0.6059371362048894,0.19642857142857142
outerwear,no_rag,0.03841676367869616,0.043655413271245634,0.23943661971830985
outerwear,rule_rag,0.45996686913307566,0.46217559359469906,0.3387096774193548
shoes,no_rag,0.03697183098591549,0.05046948356807512,0.3055555555555556
shoes,rule_rag,0.4192650334075724,0.42538975501113585,0.21495327102803738
tops,no_rag,0.03987730061349693,0.03987730061349693,0.23529411764705882
tops,rule_rag,0.44770857814336074,0.4488836662749706,0.24615384615384617
