claim_type,condition,n,exact_trace_support,full_kb_support
body_fit,no_rag,877,0.04104903078677309,0.04446978335233751
body_fit,rule_rag,1073,0.4473438956197577,0.45013979496738116
colour,no_rag,376,0.05053191489361702,0.07180851063829788
colour,rule_rag,201,0.3333333333333333,0.3383084577114428
comfort,no_rag,211,0.009478672985781991,0.009478672985781991
comfort,rule_rag,152,0.48026315789473684,0.48026315789473684
formality,no_rag,458,0.08078602620087336,0.08078602620087336
formality,rule_rag,704,0.5071022727272727,0.5071022727272727
item_type,no_rag,400,0.1475,0.1675
item_type,rule_rag,614,0.41368078175895767,0.4153094462540717
material,no_rag,306,0.11437908496732026,0.12418300653594772
material,rule_rag,359,0.3286908077994429,0.3342618384401114
occasion,no_rag,211,0.08056872037914692,0.08056872037914692
occasion,rule_rag,390,0.676923076923077,0.6794871794871795
other,no_rag,1758,0.02161547212741752,0.02502844141069397
other,rule_rag,1637,0.38485033598045204,0.3860720830788027
season,no_rag,12,0.16666666666666666,0.16666666666666666
season,rule_rag,35,0.5714285714285714,0.5714285714285714
styling_relation,no_rag,2744,0.05539358600583091,0.058673469387755105
styling_relation,rule_rag,2726,0.5807043286867205,0.582905355832722
trend,no_rag,84,0.047619047619047616,0.047619047619047616
trend,rule_rag,32,0.375,0.375
visual_match,no_rag,1040,0.03942307692307692,0.04423076923076923
visual_match,rule_rag,989,0.49646107178968657,0.5005055611729019
